A = 00000000, B = 00000000, PC = 00000000, SP = 00000000
A = 00000000, B = 00000000, PC = 00000001, SP = 00000000
A = 00000000, B = 00000000, PC = 00000002, SP = 00000000
A = 00000000, B = 00000000, PC = 00000003, SP = 00000000
A = 00000000, B = 00000000, PC = 00000004, SP = 00000000
A = 00000000, B = 00000000, PC = 00000005, SP = 00000000
A = 00000000, B = 00000000, PC = 00000006, SP = 00000000
A = 00000000, B = 00000000, PC = 00000007, SP = 00000000
A = 00000032, B = 00000000, PC = 00000008, SP = 00000000
A = 00000032, B = 00000000, PC = 00000009, SP = 00000000
A = 00000001, B = 00000032, PC = 0000000a, SP = 00000000
A = 00000031, B = 00000032, PC = 0000000b, SP = 00000000
A = 00000032, B = 00000032, PC = 0000000c, SP = 00000000
A = 00000000, B = 00000032, PC = 0000000d, SP = 00000000
A = 00000000, B = 00000000, PC = 0000000e, SP = 00000000
A = 00000001, B = 00000000, PC = 0000000f, SP = 00000000
A = 00000000, B = 00000000, PC = 00000010, SP = 00000000
A = 00000000, B = 00000000, PC = 00000011, SP = 00000000
A = 00000001, B = 00000000, PC = 00000012, SP = 00000000
A = 00000001, B = 00000000, PC = 00000013, SP = 00000001
A = 00000001, B = 00000001, PC = 00000014, SP = 00000001
A = 00000002, B = 00000001, PC = 00000015, SP = 00000001
A = 00000001, B = 00000001, PC = 00000016, SP = 00000001
A = 00000000, B = 00000001, PC = 00000017, SP = 00000001
A = 00000000, B = 00000000, PC = 00000018, SP = 00000001
A = 00000001, B = 00000000, PC = 00000019, SP = 00000001
A = 00000000, B = 00000000, PC = 0000001a, SP = 00000001
A = 00000001, B = 00000000, PC = 0000001b, SP = 00000001
A = 00000001, B = 00000000, PC = 0000001c, SP = 00000001
A = 00000000, B = 00000001, PC = 0000001d, SP = 00000001
A = 00000001, B = 00000001, PC = 0000001e, SP = 00000000
A = 00000001, B = 00000001, PC = 0000001f, SP = 00000000
A = 00000001, B = 00000001, PC = 00000020, SP = 00000000
A = 00000000, B = 00000001, PC = 00000021, SP = 00000000
A = 00000000, B = 00000000, PC = 00000022, SP = 00000000
A = 00000000, B = 00000000, PC = 00000003, SP = 00000000
A = 00000000, B = 00000000, PC = 00000004, SP = 00000000
A = 00000000, B = 00000000, PC = 00000005, SP = 00000000
A = 00000000, B = 00000000, PC = 00000006, SP = 00000000
A = 00000000, B = 00000000, PC = 00000007, SP = 00000000
